ISO Code,Location,Original Region
CHL,Sur VIII - XII, Sur VIII - XII
CHL,former,Valparaiso (former Aconcagua)
CHN,Guangxi Zhuang,Guangxi Zhuang
CHN,Hongkong,Hongkong
CHN,Inner Mongolia," Henan, Shanxi, Shaanxi, Inner Mongolia"
CHN,Inner Mongolia,Inner Mongolia
CHN,Ningxia," Gansu, Qinghai, Ningxia, Xinjiang"
CHN,Ningxia,Ningxia
CHN,Tibet," Chongqing, Sichuan, Guizhou, Yunnan, Tibet"
CHN,Tibet,Tibet
CHN,Xinjiang," Gansu, Qinghai, Ningxia, Xinjiang"
CHN,Xinjiang,Xinjiang
CIV,Bas Sassandra,Bas Sassandra
CIV,Centre,Centre
CIV,Centre Est,Centre Est
CIV,Centre Nord,Centre Nord
CIV,Centre Ouest,Centre Ouest
CIV,Comoe,Comoe
CIV,Denguele,Denguele
CIV,Goh-Djiboua,Goh-Djiboua
CIV,Nord,Nord
CIV,Nord Est,Nord Est
CIV,Nord Ouest,Nord Ouest
CIV,Ouest,Ouest
CIV,Sassandra-Marahoue,Sassandra-Marahoue
CIV,Sud,"Sud, Abidjan"
CIV,Sud Ouest,Sud Ouest
CIV,Vallee du Bandama,Vallee du Bandama
CMR,Douala,Littoral (incl Douala)
CMR,Extreme Nord,Extreme Nord
CMR,Nord,Nord
CMR,Nord Ouest,Nord Ouest
CMR,Ouest,Ouest
CMR,Sud,Sud
CMR,Sud Ouest,Sud Ouest
COD,Bas-Congo,Bas-Congo
COD,Equateur,Equateur
COD,Kasai Occidental,Kasai Occidental
COD,Kasai Oriental,Kasai Oriental
COD,Katanga,Katanga
COD,Orientale,Orientale
COG,Cuvette Ouest, Cuvette Ouest
COG,Lekoumou, Lekoumou
COG,Sangha, Sangha
COL,Amazonas,Amazonas
COL,Bogota D.C.,Bogota D.C.
COL,Boyaca,Boyaca
COL,Caqueta,Caqueta
COL,Choco,Choco
COL,Cordoba,Cordoba
COL,Guainja,Guainja
COL,Medellin,Antioquia (incl Medellin)
COL,Narino,Narino
COL,Norte,Bolivar (Sur and Norte)
COL,Quindio,Quindio
COL,Sucre,Sucre
COL,Sur,Bolivar (Sur and Norte)
COL,Vaupis,Vaupis
COM,Moheli,Moheli
COM,Ndzouani,Anjouan (Ndzouani)
COM,Ngazidja,Grande Comore (Ngazidja)
CPV,Fogo,Fogo
CPV,S.Antao,S.Antao
CPV,S.Vicente,S.Vicente
CPV,Santiago- Praia,Santiago- Praia
CPV,Santiago-Interior,Santiago-Interior
CPV,So Nicola,"Other islands (Boa Vista, Brava, Maio, So Nicola, Sal)"
CRI,Limon,Limon
CRI,San Jose,San Jose
CUB,C. Habana,C. Habana
CUB,Camaguey,Camaguey
CUB,Ciego de Avila,Ciego de Avila
CUB,Guantanamo,Guantanamo
CUB,Holguin,Holguin
CUB,Isla,Isla
CUB,Pinar del Rio,Pinar del Rio
CUB,Prov. Habana,Prov. Habana
CUB,S.Spiritus,S.Spiritus
CZE,Jihovychod,Jihovychod
CZE,Jihozapad,Jihozapad
CZE,Moravskoslezsko,Moravskoslezsko
CZE,Praha,Praha
CZE,Severovychod,Severovychod
CZE,Severozapad,Severozapad
CZE,Stredni Cechy,Stredni Cechy
CZE,Stredni Morava,Stredni Morava
DEU,Baden-Wurttemberg,Baden-Wurttemberg
DEU,Thuringen,Thuringen
DJI,Djibouti,Djibouti
DJI,Other Districts,Other Districts
DNK,Sjaelland,Sjaelland
DOM,Dajabon,"Region VII (Dajabon, Monte Cristi, Santiago Rodriguez, Valverde)"
DOM,Elias Pina,"Region VI (San Juan, Elias Pina)"
DOM,Maria Trinidad Sanchez,"Region III (Duarte, Maria Trinidad Sanchez, Salcedo, Samana)"
DOM,Monsenor Nouel,"Region VIII (La Vega, Monsenor Nouel, Sanchez Ramirez)"
DOM,Samana,"Region III (Duarte, Maria Trinidad Sanchez, Salcedo, Samana)"
DOM,San Cristobal,"Region I (Peravia, San Cristobal, San Jose de Ocoa, Azua)"
DOM,San Jose de Ocoa,"Region I (Peravia, San Cristobal, San Jose de Ocoa, Azua)"
DOM,San Juan,"Region VI (San Juan, Elias Pina)"
DOM,San Pedro de Macoris,"Region V (El Seibo, La Altagracia, La Romana, San Pedro de Macoris, Hato Mayor)"
DOM,Sanchez Ramirez,"Region VIII (La Vega, Monsenor Nouel, Sanchez Ramirez)"
DZA,Boumerdes,"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)"
DZA,Saida,"Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)"
ECU,Coste,Coste
ECU,Galapagos,Galapagos
ECU,Oriente,Oriente
ECU,Sierra,Sierra
EGY,Dakahlia,Dakahlia
EGY,Fayoum,Fayoum
EGY,Gharbia,Gharbia
EGY,Kafr El-Sheikh,Kafr El-Sheikh
EGY,Kalyubia,Kalyubia
EGY,Matroh,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)"
EGY,Menoufia,Menoufia
EGY,Menya,Menya
EGY,New Valley,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)"
EGY,North Sainai,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)"
EGY,Red Sea,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)"
EGY,Sharkia,Sharkia
EGY,Souhag,Souhag
EGY,South Sainai,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)"
ERI,Asmara,Maekel (Central including Asmara)
ERI,Debubawi Keih Bahri,Debubawi Keih Bahri
ERI,Gash-Barka,Gash-Barka
ERI,Red,Debubawi Keyih Bahri (Southern Red Sea)
ERI,Red,Semenawi Keyih Bahri (Northern Red Sea)
ERI,Sea,Debubawi Keyih Bahri (Southern Red Sea)
ERI,Sea,Semenawi Keyih Bahri (Northern Red Sea)
ERI,Semenawi Keih Bahri,Semenawi Keih Bahri
ERI,uding,Maekel (Central including Asmara)
ESP,Andalucia,Andalucia
ESP,Aragon,Aragon
ESP,Castilla y Leon,Castilla y Leon
ESP,Cataluna,Cataluna
ESP,Ciudad Autonoma de Ceuta,Ciudad Autonoma de Ceuta
ESP,Ciudad Autonoma de Melilla,Ciudad Autonoma de Melilla
ESP,Illes Balears,Illes Balears
ESP,Pais Vasco,Pais Vasco
ESP,Region de Murcia,Region de Murcia
EST,Kesk-Eesti,Kesk-Eesti
EST,Kirde-Eesti,Kirde-Eesti
EST,Laane-Eesti,Laane-Eesti
EST,Louna-Eesti,Louna-Eesti
EST,Pohja-Eesti,Pohja-Eesti
ETH,Addis,Addis
ETH,Affar,Affar
ETH,Ben-Gumz,Ben-Gumz
ETH,Harari,Harari
ETH,SNNP,SNNP
FIN,Aland,Aland
FIN,Etela-Suomi,Etela-Suomi
FIN,Helsinki-Uusimaa,Helsinki-Uusimaa
FIN,Lansi-Suomi,Lansi-Suomi
FIN,Pohjois-ja Ita-Suomi,Pohjois-ja Ita-Suomi
FJI,Bua,"Cakaudrove, Bua"
FJI,Nadroga or Navosa,Nadroga or Navosa
FJI,Ra,Ra
FRA,Alsace,Alsace
FRA,Aquitaine,Aquitaine
FRA,Auvergne,Auvergne
FRA,Basse-Normandie,Basse-Normandie
FRA,Bourgogne,Bourgogne
FRA,Centre,Centre
FRA,Champagne-Ardenne,Champagne-Ardenne
FRA,Franche-Comte,Franche-Comte
FRA,French Guyana,French Guyana
FRA,Guadeloupe,Guadeloupe
FRA,Haute-Normandie,Haute-Normandie
FRA,Ile de France,Ile de France
FRA,Languedoc-Roussillon,Languedoc-Roussillon
FRA,Limousin,Limousin
FRA,Lorraine,Lorraine
FRA,Martinique,Martinique
FRA,Mayotte,Mayotte
FRA,Midi-Pyrenees,Midi-Pyrenees
FRA,Picardie,Picardie
FRA,Poitou-Charentes,Poitou-Charentes
FRA,Provence-Alpes-Cote dAzur,Provence-Alpes-Cote dAzur
FRA,Reunion,Reunion
FRA,Rhone-Alpes,Rhone-Alpes
GAB,Haut Ogooue,Haut Ogooue
GAB,Libreville-Port Gentil,Libreville-Port Gentil
GAB,Moyen Ogooue,Moyen Ogooue
GAB,Ngounie,Ngounie
GAB,Ogooue Ivindo,Ogooue Ivindo
GAB,Ogooue Lolo,Ogooue Lolo
GAB,Ogooue Maritime,Ogooue Maritime
GAB,Woleu Ntem,Woleu Ntem
GBR,East Midlands,East Midlands
GBR,East of England,East of England
GBR,London,London
GBR,The Humber,Yorkshire and The Humber
GBR,West Midlands,West Midlands
GBR,Yorkshire,Yorkshire and The Humber
GEO,Imereti Racha-Lochkhumi Kvemo Svaneti,Imereti Racha-Lochkhumi Kvemo Svaneti
GEO,Samegrelo-Zemo Svateni,Samegrelo-Zemo Svateni
GHA,Brong Ahafo,Brong Ahafo
GIN,Boke,Boke
GIN,Labe,Labe
GIN,N Zerekore,N Zerekore
GMB,Basse,Basse
GMB,Brikama,Brikama
GMB,Janjabureh,Janjabureh
GMB,Kerewan,Kerewan
GMB,Kuntaur,Kuntaur
GMB,Mansakonko,Mansakonko
GNQ,Annobon,"Annobon, Bioko"
GNQ,Bioko,"Annobon, Bioko"
GNQ,Kie Ntem,Kie Ntem
GNQ,Litoral,Litoral
GNQ,Wele Nzas,Wele Nzas
GRC,Anatoliki Makedonia,"Anatoliki Makedonia, Thraki"
GRC,Attiki,Attiki
GRC,Dytiki Ellada,Dytiki Ellada
GRC,Dytiki Makedonia,Dytiki Makedonia
GRC,Ionia Nisia,Ionia Nisia
GRC,Ipeiros,Ipeiros
GRC,Kentriki Makedonia,Kentriki Makedonia
GRC,Kriti,Kriti
GRC,Notio Aigaio,Notio Aigaio
GRC,Peloponnisos,Peloponnisos
GRC,Sterea Ellada,Sterea Ellada
GRC,Thessalia,Thessalia
GRC,Thraki,"Anatoliki Makedonia, Thraki"
GRC,Voreio Aigaio,Voreio Aigaio
GTM,Metropolitan,Metropolitan
GTM,North-Occidental,North-Occidental
GTM,North-Oriental,North-Oriental
GTM,Peten,Peten
GTM,South-Occidental,South-Occidental
GTM,South-Oriental,South-Oriental
GUF,French Guyana,French Guyana
HND,Atlantida,Atlantida
HND,Colon,Colon
HND,Copan,Copan
HND,Cortes,Cortes
HND,El Paraiso,El Paraiso
HND,Francisco Morazan,Francisco Morazan
HND,Intibuca,Intibuca
HND,Islas de la Bahia,Islas de la Bahia
HND,Santa Barbara,Santa Barbara
HND,Valle,Valle
HRV,Bjelovar-Bilogora,County of Bjelovar-Bilogora
HRV,Brod-Posavina,County of Brod-Posavina
HRV,City of Zagreb,City of Zagreb
HRV,Istria,County of Istria
HRV,Koprivnica-Krizevc,County of Koprivnica-Krizevc
HRV,Pozega-Slavonia,County of Pozega-Slavonia
HRV,Sibenik-Knin,County of Sibenik-Knin
HRV,Split-Dalmatia,County of Split-Dalmatia
HRV,Varazdin,County of Varazdin
HTI,Camps,Camps
HTI,Centre,Centre
HTI,Grande-Anse,"Grande-Anse, Nippes"
HTI,Metropolitain,West (incl Metropolitain area)
HTI,area,West (incl Metropolitain area)
HUN,Del-Alfold,Del-Alfold
HUN,Del-Dunantul,Del-Dunantul
HUN,Eszak-Alfold,Eszak-Alfold
HUN,Eszak-Magyarorszag,Eszak-Magyarorszag
HUN,Kozep-Dunantul,Kozep-Dunantul
HUN,Kozep-Magyarorszag,Kozep-Magyarorszag
HUN,Nyugat-Dunantul,Nyugat-Dunantul
IDN,Barat,South Sulawesi (incl Sulawesi Barat)
IDN,Central Java,Central Java
IDN,Central Kalimantan,Central Kalimantan
IDN,Central Sulawesi,Central Sulawesi
IDN,DI Aceh,DI Aceh
IDN,DI Yogyakarta,DI Yogyakarta
IDN,DKI Jakarta,DKI Jakarta
IDN,East Java,East Java
IDN,East Kalimantan,East Kalimantan
IDN,East Nusa Tenggara,East Nusa Tenggara
IDN,East Timor,East Timor
IDN,North Sulawesi,North Sulawesi
IDN,North Sumatra,North Sumatra
IDN,South Kalimantan,South Kalimantan
IDN,South Sumatra,South Sumatra
IDN,Southeast Sulawesi,Southeast Sulawesi
IDN,Sulawesi,South Sulawesi (incl Sulawesi Barat)
IDN,West Java,West Java
IDN,West Kalimantan,West Kalimantan
IDN,West Nusa Tenggara,West Nusa Tenggara
IDN,West Sumatra,West Sumatra
IDN,islands,Riau (incl. Riau islands)
IND,Andaman,Andaman and Nicobar Islands
IND,Chandigarth,Chandigarth
IND,Dadra,Dadra and Nagar Haveli
IND,Jammu,Jammu and Kashmir
IND,Kashmir,Jammu and Kashmir
IND,Nagar Haveli,Dadra and Nagar Haveli
IND,New Delhi,New Delhi
IND,Orissa,Orissa
IND,Punjab,Punjab
IND,Uttaranchal,Uttaranchal
IRL,Border,Border
IRL,Mid-East,Mid-East
IRL,Mid-West,Mid-West
IRL,Midland,Midland
IRN,Bakhtiyari,Chaharmahal and Bakhtiyari
IRN,Boyerahmad,Kohgiluyeh and Boyerahmad
IRN,Chaharmahal,Chaharmahal and Bakhtiyari
IRN,EastAzarbayejan,EastAzarbayejan
IRN,Khorasan-e-Razavi,Khorasan-e-Razavi
IRN,Sistanand Baluchestan,Sistanand Baluchestan
IRN,WestAzarbayejan,WestAzarbayejan
IRQ,Anbar,Anbar
IRQ,Diala,Diala
IRQ,Dohouk,Dohouk
IRQ,Muthanna,Muthanna
IRQ,Nenava,Nenava
IRQ,Qadisiya,Qadisiya
IRQ,Salaheldeen,Salaheldeen
IRQ,Suleimaniya,Suleimaniya
IRQ,Ta-amem-Karkuk,Ta-amem-Karkuk
IRQ,Thi-Qar,Thi-Qar
ITA,Provincia Autonoma di Bolzano,Provincia Autonoma di Bolzano
ITA,Provincia Autonoma di Trento,Provincia Autonoma di Trento
JAM,St Andrew,"Kingston, St Andrew"
JAM,St Ann,"St Ann, St Catherine"
JAM,St Catherine,"St Ann, St Catherine"
JAM,St Elizabeth,"Trelawny, St Elizabeth"
JAM,St James,"St James, Hanover, Westmoreland"
JAM,St Mary,"St Thomas, Portland, St Mary"
JAM,St Thomas,"St Thomas, Portland, St Mary"
JOR,Aljoun,Aljoun
JOR,Tafiela,Tafiela
JPN,Hyogo,"Kansai region (Shiga, Kyoto, Osaka, Hyogo, Nara, Wakayama)"
KAZ,(incl,"North region (Akmolinskaya (incl Astana city), Kostnaiskaya, Pavlodarskaya, North-Kazakhstanskaya)"
KAZ,Akmolinskaya,"North region (Akmolinskaya (incl Astana city), Kostnaiskaya, Pavlodarskaya, North-Kazakhstanskaya)"
KAZ,Aktyubinskaya,"West region (Aktyubinskaya, Atyrauskaya, Mangistauskaya, West-Kazakhstanskaya)"
