ISO Code,Location,Original Region
MNG,Govisumber,"Central (Dornogovi, Dundgovi, Umnugovi, Selenge, Tuv, Darkhan-Uul, Govisumber)"
SRB,Vojvodina,Vojvodina
AUT,Oberosterreich,Oberosterreich
MKD,Skopski,Skopski
GIN,Boke,Boke
CHN,Hongkong,Hongkong
TGO,Centrale,Centrale
MNG,Darkhan-Uul,"Central (Dornogovi, Dundgovi, Umnugovi, Selenge, Tuv, Darkhan-Uul, Govisumber)"
ECU,Sierra,Sierra
IDN,islands,Riau (incl. Riau islands)
RUS,The Urals  Federal District,The Urals  Federal District
SDN,South Kordofan,South Kordofan
BTN,Wangdi,Wangdi
GNQ,Bioko,"Annobon, Bioko"
KHM,Siem Reab-Otdar Mean Chey,Siem Reab-Otdar Mean Chey
JOR,Tafiela,Tafiela
FRA,Champagne-Ardenne,Champagne-Ardenne
IRQ,Ta-amem-Karkuk,Ta-amem-Karkuk
FRA,Alsace,Alsace
SDN,North Kordofan,North Kordofan
MRT,Adrar,Adrar
GTM,South-Oriental,South-Oriental
CRI,Limon,Limon
CIV,Centre,Centre
POL,Malopolskie,Malopolskie
DOM,Maria Trinidad Sanchez,"Region III (Duarte, Maria Trinidad Sanchez, Salcedo, Samana)"
MKD,Pelagoniski,Pelagoniski
BRA,Paraiba,Paraiba
CAF,Baminigui Bangoran,"RS IV (Haute-Kotto, Baminigui Bangoran, Vakaga)"
TCA,Turks islands,Turks islands
UGA,Bugishu,"Eastern (Bukedi, Bugishu, Teso)"
GTM,North-Oriental,North-Oriental
NGA,Adamawa,Adamawa
BEL,Prov. Luxembourg,Prov. Luxembourg
CMR,Nord,Nord
KHM,Kampot-Krong Kaeb-Krong Preah Sihanouk,Kampot-Krong Kaeb-Krong Preah Sihanouk
IRQ,Salaheldeen,Salaheldeen
UGA,Bukedi,"Eastern (Bukedi, Bugishu, Teso)"
NZL,Tasman - Nelson,Tasman - Nelson
SOM,W Galbeed,W Galbeed
HND,Valle,Valle
JAM,St Catherine,"St Ann, St Catherine"
HND,Cortes,Cortes
GBR,East of England,East of England
CUB,Guantanamo,Guantanamo
MKD,Poloski,Poloski
IND,Orissa,Orissa
VEN,Bolivar,Bolivar
MMR,Taninthayi,Taninthayi
EST,Louna-Eesti,Louna-Eesti
SSD,Western Bahr El Ghazal,Western Bahr El Ghazal
SAU,Eastern province,Eastern province
GMB,Kerewan,Kerewan
CMR,Extreme Nord,Extreme Nord
MEX,Queretaro,Queretaro
PRT,Alentejo,Alentejo
ROU,Sud-Vest Oltenia,Sud-Vest Oltenia
CPV,Fogo,Fogo
FIN,Helsinki-Uusimaa,Helsinki-Uusimaa
KAZ,Akmolinskaya,"North region (Akmolinskaya (incl Astana city), Kostnaiskaya, Pavlodarskaya, North-Kazakhstanskaya)"
SYR,Al Qunitara - Quneitra,Al Qunitara - Quneitra
FRA,Bourgogne,Bourgogne
IRQ,Muthanna,Muthanna
BEL,Prov. Liege,Prov. Liege
EGY,Matroh,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)"
PAN,Darien,Darien
DOM,Samana,"Region III (Duarte, Maria Trinidad Sanchez, Salcedo, Samana)"
SWE,Mellersta Norrland,Mellersta Norrland
BIH,Republica Srpska,Republica Srpska
MRT,Tiris-Zemmour,Tiris-Zemmour
VNM,Mekong River Delta,Mekong River Delta
GMB,Brikama,Brikama
DOM,Monsenor Nouel,"Region VIII (La Vega, Monsenor Nouel, Sanchez Ramirez)"
AFG,Helmand,South (Uruzgan Helmand Zabul Nimroz Kandahar)
FRA,Haute-Normandie,Haute-Normandie
URY,Metropolitan area,Montevideo and Metropolitan area
URY,Trienta y Tres,"Norte (Artigas, Rivera, Cerro Largo and Trienta y Tres)"
CMR,Douala,Littoral (incl Douala)
ETH,Ben-Gumz,Ben-Gumz
KAZ,West-Kazakhstanskaya,"West region (Aktyubinskaya, Atyrauskaya, Mangistauskaya, West-Kazakhstanskaya)"
HND,Copan,Copan
ROU,Centru,Centru
SSD,Warrap,Warrap
COL,Boyaca,Boyaca
COD,Kasai Oriental,Kasai Oriental
NOR,Sor-Ostlandet,Sor-Ostlandet
POL,Swietokrzyskie,Swietokrzyskie
SSD,Western Equatoria,Western Equatoria
POL,Dolnoslaskie,Dolnoslaskie
GTM,North-Occidental,North-Occidental
IDN,DI Aceh,DI Aceh
TUN,Gabes,"Sud Est (Gabes, Medinine, Tataouine)"
BGR,Yugoiztochen,Yugoiztochen
JAM,St James,"St James, Hanover, Westmoreland"
GBR,The Humber,Yorkshire and The Humber
IRL,Border,Border
BGR,Severen tsentralen,Severen tsentralen
EST,Laane-Eesti,Laane-Eesti
HTI,Metropolitain,West (incl Metropolitain area)
IRQ,Qadisiya,Qadisiya
IDN,South Sumatra,South Sumatra
HUN,Eszak-Magyarorszag,Eszak-Magyarorszag
IDN,Barat,South Sulawesi (incl Sulawesi Barat)
MDA,Center,Center
SLV,Central II,Central II
CHE,Espace Mittelland,Espace Mittelland
HRV,Istria,County of Istria
DEU,Baden-Wurttemberg,Baden-Wurttemberg
KHM,Kampong Thum,Kampong Thum
LAO,Luangprabang,Luangprabang
GMB,Mansakonko,Mansakonko
MUS,Riviere du Rempart,"North (Port Louis, Pamplemousses, Riviere du Rempart, Flacq, Moka)"
SWE,Ovre Norrland,Ovre Norrland
VEN,Falcon,Falcon
PAN,Chiriqui,Chiriqui
EGY,Menoufia,Menoufia
GAB,Haut Ogooue,Haut Ogooue
PRY,Asuncion,"Central (Asuncion, Central)"
FRA,Midi-Pyrenees,Midi-Pyrenees
GAB,Ogooue Ivindo,Ogooue Ivindo
GRC,Thraki,"Anatoliki Makedonia, Thraki"
PAK,ICT,Islamabad (ICT)
KOR,Gyeongnam,Gyeongnam Region
RUS,The Siberian  Federal District,The Siberian  Federal District
VEN,Merida,Merida
MOZ,Maputo Provincia,Maputo Provincia
BGR,Yuzhen tsentralen,Yuzhen tsentralen
GRC,Ionia Nisia,Ionia Nisia
PRT,Algarve,Algarve
CIV,Centre Nord,Centre Nord
TJK,Duchanbe,Duchanbe
ROU,Sud,Sud
UGA,Bunyoro,"Western (Bunyoro, Tooro)"
LBY,Fezzan,Fezzan
URY,Rio Negro,"Litoral Norte (Paysandu, Salto and Rio Negro)"
DOM,Dajabon,"Region VII (Dajabon, Monte Cristi, Santiago Rodriguez, Valverde)"
PRY,Caazapa,"South-West (Caazapa, Itapua)"
BRA,Rondonia,Rondonia
SRB,Sumadija,Sumadija and West Serbia
FRA,Provence-Alpes-Cote dAzur,Provence-Alpes-Cote dAzur
ERI,Sea,Semenawi Keyih Bahri (Northern Red Sea)
YEM,Bayda,"Beida (Al Bayda), Dhamar, Raimah"
ALA,Aland,Aland
LTU,Kaunas County,Kaunas County
COL,Cordoba,Cordoba
LAO,Champasack,Champasack
PHL,Central Visayas,VII-Central Visayas
DOM,Elias Pina,"Region VI (San Juan, Elias Pina)"
PHL,Northern Mindanao,X-Northern Mindanao
