ISO Code,Location,Original Region
IDN,Central Java,Central Java
CHN,Guangxi Zhuang,Guangxi Zhuang
YEM,Omran,"Hajja, Sada, Amran (Omran)"
TUR,Karabuk,"West Black Sea (Amasya, Cankiri, Corum, Kastamonu, Samsun, Sinop, Tokat, Zonguldak, Bartin, Karabuk)"
CHL,Centro V - VII, Centro V - VII
GMB,Brikama,Brikama
GTM,Metropolitan,Metropolitan
TJK,GBAO,GBAO
VEN,Region Capital, Region Capital
MEX,Queretaro," Noreste (Aguascalientes, Coahuila, Guanajuato, Nuevo Leon, Queretaro, San Luis Potosi, Tamaulipas,"
COG,Sangha, Sangha
ARG,Gran Buenos Aires,Gran Buenos Aires
COD,Equateur,Equateur
COL,Quindio,Quindio
QAT,Al-Khor,Al-Khor
TCD,Ouest,Zone 6 (Mayo-Kebbi Est and Ouest)
MWI,Nkhota Kota,"Other central (Nkhota Kota, Mchinji, Dowa, Ntchisi, Dedza, Ntcheu)"
LAO,Champasack,Champasack
UGA,West Nile,West Nile
IDN,West Sumatra,West Sumatra
EGY,North Sainai,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)"
MRT,Tiris-Zemmour,Tiris-Zemmour
BRB,St. James,"St. James, St. George, and St. Thomas"
CUB,Ciego de Avila,Ciego de Avila
AZE,Dakhlik Shirvan,Dakhlik Shirvan
PRY,Neembucu,"South-East (Guaira, Misiones, Paraguari, Neembucu)"
SYR,Al Qunitara - Quneitra,Al Qunitara - Quneitra
IND,Uttaranchal,Uttaranchal
COL,Choco,Choco
PAN,Darien,Darien
AZE,Guba Khachmaz,Guba Khachmaz
PAN,Area Oriental, Area Oriental
CIV,Denguele,Denguele
PNG,Oro,"Northern, Oro"
SAU,Riadh,"Center (Riadh, Qassim)"
KHM,Kampong Spueu,Kampong Spueu
ALB,Durres, Durres
GAB,Ogooue Lolo,Ogooue Lolo
KGZ,Chuy,Chuy
NGA,Edo,Edo
BDI,Mairie de Bujumbura,"West (Bubanza, Buja Rural, Cibitoke, Mairie de Bujumbura)"
TCA,Turks islands,Turks islands
BIH,Republica Srpska,Republica Srpska
VNM,Red River Delta,Red River Delta
QAT,Al-Rayyan,Al-Rayyan
CAF,Ouham Pende,"RS III (Ouham Pende, Ouham)"
